,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
0,24,2010,1,1,23,4,-17.0,41.0,1020.0,-5.0,cv,0.89,0.0,0.0,129.0
1,25,2010,1,2,0,4,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0,148.0
2,26,2010,1,2,1,4,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0,159.0
3,27,2010,1,2,2,4,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0,181.0
4,28,2010,1,2,3,4,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0,138.0
5,29,2010,1,2,4,4,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0,109.0
6,30,2010,1,2,5,4,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0,105.0
7,31,2010,1,2,6,4,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0,124.0
8,32,2010,1,2,7,4,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0,120.0
9,33,2010,1,2,8,4,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0,132.0
10,34,2010,1,2,9,4,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0,140.0
11,35,2010,1,2,10,4,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0,152.0
12,36,2010,1,2,11,4,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0,148.0
13,37,2010,1,2,12,4,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0,164.0
14,38,2010,1,2,13,4,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0,158.0
15,39,2010,1,2,14,4,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0,154.0
16,40,2010,1,2,15,4,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0,159.0
17,41,2010,1,2,16,4,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0,164.0
18,42,2010,1,2,17,4,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0,170.0
19,43,2010,1,2,18,4,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0,149.0
20,44,2010,1,2,19,4,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0,154.0
21,45,2010,1,2,20,4,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0,164.0
22,46,2010,1,2,21,4,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0,156.0
23,47,2010,1,2,22,4,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0,126.0
24,48,2010,1,2,23,4,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0,90.0
25,49,2010,1,3,0,4,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4,63.0
26,50,2010,1,3,1,4,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9,65.0
27,51,2010,1,3,2,4,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4,55.0
28,52,2010,1,3,3,4,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1,65.0
29,53,2010,1,3,4,4,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3,83.0
30,54,2010,1,3,5,4,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0,91.0
31,55,2010,1,3,6,4,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0,86.0
32,56,2010,1,3,7,4,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7,82.0
33,57,2010,1,3,8,4,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2,86.0
34,58,2010,1,3,9,4,-11.0,85.0,1023.0,-9.0,SE,93.86,0.7,6.9,78.0
35,59,2010,1,3,10,4,-11.0,85.0,1023.0,-9.0,SE,97.88,0.4,7.3,98.0
36,60,2010,1,3,11,4,-11.0,85.0,1022.0,-9.0,SE,102.8,0.5,7.8,107.0
37,61,2010,1,3,12,4,-11.0,85.0,1021.0,-9.0,SE,105.93,1.1,8.9,90.0
38,62,2010,1,3,13,4,-11.0,85.0,1020.0,-9.0,SE,111.74,0.5,9.4,96.0
39,63,2010,1,3,14,4,-11.0,85.0,1020.0,-9.0,SE,116.66,0.3,9.7,95.0
40,64,2010,1,3,15,4,-11.0,85.0,1020.0,-9.0,SE,121.58,0.5,10.2,86.0
41,65,2010,1,3,16,4,-11.0,85.0,1020.0,-9.0,SE,124.71,0.2,10.4,70.0
42,66,2010,1,3,17,4,-11.0,85.0,1020.0,-9.0,SE,127.84,0.1,10.5,61.0
43,67,2010,1,3,18,4,-11.0,85.0,1021.0,-9.0,cv,0.89,0.4,10.9,53.0
44,68,2010,1,3,19,4,-11.0,85.0,1022.0,-9.0,cv,1.78,0.3,11.2,71.0
45,69,2010,1,3,20,4,-10.0,92.0,1022.0,-9.0,NW,4.02,0.0,0.0,72.0
46,70,2010,1,3,21,4,-11.0,92.0,1023.0,-10.0,NW,7.15,0.0,0.0,76.0
47,71,2010,1,3,22,4,-11.0,85.0,1023.0,-9.0,NW,11.17,0.0,0.0,73.0
48,72,2010,1,3,23,4,-12.0,92.0,1023.0,-11.0,NW,14.3,0.0,0.0,79.0
49,73,2010,1,4,0,4,-14.0,85.0,1023.0,-12.0,NW,16.09,0.0,0.0,58.0
50,74,2010,1,4,1,4,-16.0,56.0,1023.0,-9.0,NW,21.9,0.0,0.0,25.0
51,75,2010,1,4,2,4,-17.0,56.0,1024.0,-10.0,NW,29.95,0.0,0.0,26.0
52,76,2010,1,4,3,4,-18.0,56.0,1024.0,-11.0,NW,39.78,0.0,0.0,28.0
53,77,2010,1,4,4,4,-19.0,51.0,1025.0,-11.0,NW,48.72,0.0,0.0,26.0
54,78,2010,1,4,5,4,-20.0,51.0,1026.0,-12.0,NW,55.87,0.0,0.0,20.0
55,79,2010,1,4,6,4,-21.0,47.0,1027.0,-12.0,NW,64.81,0.0,0.0,29.0
56,80,2010,1,4,7,4,-21.0,51.0,1027.0,-13.0,NW,73.75,0.0,0.0,26.0
57,81,2010,1,4,8,4,-22.0,46.0,1028.0,-13.0,NW,80.9,0.0,0.0,27.0
